scope_type,family,subevent,transport_event_type,direction,valid_scope_event,valid_event_subevent,valid_scope_subevent_event,scope_supported,bindings_when_non_forbidden,protocols_when_non_forbidden,rest,jsonrpc,http.stream,sse,websocket,webtransport
http,request,request.open,http.request,receive,yes,yes,yes,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,http.disconnect,receive,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,http.response.start,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,http.response.body,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.connect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.disconnect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.accept,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,websocket.close,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.connect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.accept,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.stream.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.stream.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.datagram.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.datagram.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.disconnect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,webtransport.close,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.open,transport.emit.complete,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,R,R,F,F
http,request,request.body_in,http.request,receive,yes,yes,yes,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,http.disconnect,receive,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,http.response.start,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,http.response.body,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.connect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.disconnect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.accept,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,websocket.close,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.connect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.accept,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.stream.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.stream.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.datagram.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.datagram.send,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.disconnect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,webtransport.close,send,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.body_in,transport.emit.complete,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",R,R,O,O,F,F
http,request,request.chunk_in,http.request,receive,yes,yes,yes,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,http.disconnect,receive,yes,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,http.response.start,send,yes,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,http.response.body,send,yes,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.connect,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.receive,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.disconnect,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.accept,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.send,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,websocket.close,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.connect,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.accept,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.stream.receive,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.stream.send,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.datagram.receive,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.datagram.send,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.disconnect,receive,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,webtransport.close,send,no,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.chunk_in,transport.emit.complete,send,yes,no,no,yes,http.stream,"http.stream, https.stream",F,F,D,F,F,F
http,request,request.accept,http.request,receive,yes,yes,yes,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,http.disconnect,receive,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,http.response.start,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,http.response.body,send,yes,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,websocket.connect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,websocket.receive,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
http,request,request.accept,websocket.disconnect,receive,no,no,no,yes,"rest, jsonrpc, http.stream, sse","http.rest, https.rest, http.jsonrpc, https.jsonrpc, http.stream, https.stream, http.sse, https.sse",O,O,O,O,F,F
